start,device,context,block,name,stream,shared memory,grid,end,cat,correlation,dur
1732610751955326.5,0,1,"128,1,1",_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,7,0,"1568,1,1",1732610751955331.5,conc_kernel,3065,4.928
1732610751955390.8,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_21CUDAFunctorOnSelf_addIlEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"1,1,1",1732610751955393.0,conc_kernel,3070,2.336
1732610751955508.0,0,1,"512,1,1",_ZN5cudnn24bn_fw_tr_1C11_singlereadIfLi512ELb1ELi1ELi2ELi0EEEvNS_18bn_fw_tr_1C11_argsIT_EE,7,4240,"512,1,1",1732610751955518.8,conc_kernel,3112,10.816
1732610751955586.5,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_49_GLOBAL__N__d2ba64fb_16_TensorCompare_cu_71e06f4e19launch_clamp_scalarERNS_18TensorIteratorBaseEN3c106ScalarES6_NS0_6detail11ClampLimitsEENKUlvE_clEvENKUlvE5_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"784,1,1",1732610751955590.0,conc_kernel,3129,3.168
1732610751957569.8,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nchwToNhwcKernelIfffLb0ELb1EL21cudnnKernelDataType_t2EEEvNS0_18nchw2nhwc_params_tIT1_EEPKT_PT0_,7,4224,"25,16,1",1732610751957574.0,conc_kernel,3229,4.0
1732610751957579.0,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nchwToNhwcKernelIfffLb0ELb1EL21cudnnKernelDataType_t2EEEvNS0_18nchw2nhwc_params_tIT1_EEPKT_PT0_,7,4224,"1,16,512",1732610751957613.2,conc_kernel,3231,34.496
1732610751957614.0,0,1,"128,1,1",_ZN17cutlass__5x_cudnn6KernelI66cutlass_tensorop_s1688fprop_optimized_tf32_128x64_32x3_nhwc_align4EEvNT_6ParamsE,7,73728,"28,2,1",1732610751957707.0,conc_kernel,3235,92.96
1732610751957708.0,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nhwcToNchwKernelIfffLb1ELb0EL21cudnnKernelDataType_t0EEEvNS0_18nhwc2nchw_params_tIT1_EEPKT_PT0_,7,4224,"25,16,1",1732610751957712.5,conc_kernel,3239,4.384
1732610751957713.2,0,1,"128,1,1",_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,7,0,"1568,1,1",1732610751957718.0,conc_kernel,3245,4.8
1732610751957738.8,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_21CUDAFunctorOnSelf_addIlEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"1,1,1",1732610751957741.0,conc_kernel,3250,2.272
1732610751957848.2,0,1,"512,1,1",_ZN5cudnn24bn_fw_tr_1C11_singlereadIfLi512ELb1ELi1ELi2ELi0EEEvNS_18bn_fw_tr_1C11_argsIT_EE,7,4240,"512,1,1",1732610751957858.8,conc_kernel,3292,10.464
