start,device,context,name,stream,end,bytes,cat,External id,correlation,dur
1732547400381273.0,0,1,Memset,14,1732547400381276.5,16128,gpu_memset,0,667,3.2
1732547401022762.0,0,1,Memset,7,1732547401022763.0,784,gpu_memset,0,2441,0.896
1732547401035378.5,0,1,Memset,7,1732547401035379.2,400,gpu_memset,0,2774,0.929
1732547401037834.2,0,1,Memset,7,1732547401037835.0,400,gpu_memset,0,2869,0.896
1732547401129677.8,0,1,Memset,7,1732547401129679.0,128,gpu_memset,0,4120,0.895
1732547401140226.0,0,1,Memset,7,1732547401140226.8,128,gpu_memset,0,4219,0.832
1732547401143992.8,0,1,Memset,7,1732547401143994.0,128,gpu_memset,0,4322,0.832
