start,pid,tid,name,cbid,end,cat,correlation,dur
1732547401054111.2,3318029,676112192,cudaFuncGetAttributes,15,1732547401054115.0,cuda_runtime,3171,3.875
1732547401054115.2,3318029,676112192,cudaFuncGetAttributes,15,1732547401054119.2,cuda_runtime,3172,3.982
1732547401054119.5,3318029,676112192,cudaFuncGetAttributes,15,1732547401054123.5,cuda_runtime,3173,4.008
1732547401054123.5,3318029,676112192,cudaFuncGetAttributes,15,1732547401054127.8,cuda_runtime,3174,3.957
1732547401054127.8,3318029,676112192,cudaFuncGetAttributes,15,1732547401054131.8,cuda_runtime,3175,3.937
1732547401054131.8,3318029,676112192,cudaFuncGetAttributes,15,1732547401054135.8,cuda_runtime,3176,3.95
1732547401054136.0,3318029,676112192,cudaFuncGetAttributes,15,1732547401054140.0,cuda_runtime,3177,4.01
1732547401054140.2,3318029,676112192,cudaFuncGetAttributes,15,1732547401054144.2,cuda_runtime,3178,4.073
1732547401054144.5,3318029,676112192,cudaFuncGetAttributes,15,1732547401054148.5,cuda_runtime,3179,3.852
1732547401054148.8,3318029,676112192,cudaFuncGetAttributes,15,1732547401054152.8,cuda_runtime,3180,3.991
1732547401054842.5,3318029,676112192,cudaFuncGetAttributes,15,1732547401054848.0,cuda_runtime,3181,5.496
1732547401054848.2,3318029,676112192,cudaFuncGetAttributes,15,1732547401054852.0,cuda_runtime,3182,3.77
1732547401054852.2,3318029,676112192,cudaFuncGetAttributes,15,1732547401054856.2,cuda_runtime,3183,4.007
1732547401054856.5,3318029,676112192,cudaFuncGetAttributes,15,1732547401054860.0,cuda_runtime,3184,3.809
1732547401054860.2,3318029,676112192,cudaFuncGetAttributes,15,1732547401054864.2,cuda_runtime,3185,3.83
1732547401054864.5,3318029,676112192,cudaFuncGetAttributes,15,1732547401054868.2,cuda_runtime,3186,3.945
1732547401054868.8,3318029,676112192,cudaFuncGetAttributes,15,1732547401054872.5,cuda_runtime,3187,3.932
1732547401054872.8,3318029,676112192,cudaFuncGetAttributes,15,1732547401054876.8,cuda_runtime,3188,3.833
1732547401054877.0,3318029,676112192,cudaFuncGetAttributes,15,1732547401054881.0,cuda_runtime,3189,4.116
1732547401054881.2,3318029,676112192,cudaFuncGetAttributes,15,1732547401054885.2,cuda_runtime,3190,3.981
1732547401054885.5,3318029,676112192,cudaFuncGetAttributes,15,1732547401054889.0,cuda_runtime,3191,3.708
1732547401054889.2,3318029,676112192,cudaFuncGetAttributes,15,1732547401054893.0,cuda_runtime,3192,3.796
1732547401055061.5,3318029,676112192,cudaFuncGetAttributes,15,1732547401055066.5,cuda_runtime,3193,4.727
1732547401055066.8,3318029,676112192,cudaFuncGetAttributes,15,1732547401055070.5,cuda_runtime,3194,4.011
1732547401055070.8,3318029,676112192,cudaFuncGetAttributes,15,1732547401055074.8,cuda_runtime,3195,4.008
1732547401055075.0,3318029,676112192,cudaFuncGetAttributes,15,1732547401055079.0,cuda_runtime,3196,3.911
1732547401055079.2,3318029,676112192,cudaFuncGetAttributes,15,1732547401055083.2,cuda_runtime,3197,3.923
1732547401055083.5,3318029,676112192,cudaFuncGetAttributes,15,1732547401055087.5,cuda_runtime,3198,3.993
1732547401055087.8,3318029,676112192,cudaFuncGetAttributes,15,1732547401055091.8,cuda_runtime,3199,3.884
1732547401055092.0,3318029,676112192,cudaFuncGetAttributes,15,1732547401055096.0,cuda_runtime,3200,4.091
1732547401055096.2,3318029,676112192,cudaFuncGetAttributes,15,1732547401055100.5,cuda_runtime,3201,4.071
1732547401055100.8,3318029,676112192,cudaFuncGetAttributes,15,1732547401055104.5,cuda_runtime,3202,3.997
1732547401055104.8,3318029,676112192,cudaFuncGetAttributes,15,1732547401055109.0,cuda_runtime,3203,3.972
1732547401055109.2,3318029,676112192,cudaFuncGetAttributes,15,1732547401055113.0,cuda_runtime,3204,3.909
