ts,correlation,ph,dur,tid,pid,cbid,cat,External id,name
6444517262192.716,263,X,0.729,1221244,1221244,203,cuda_runtime,45,cudaStreamGetPriority
6444517262193.796,264,X,0.637,1221244,1221244,205,cuda_runtime,45,cudaDeviceGetStreamPriorityRange
6444517262237.088,288,X,1.34,1221244,1221244,135,cuda_runtime,45,cudaEventRecord
6444517262238.689,289,X,0.467,1221244,1221244,317,cuda_runtime,45,cudaStreamIsCapturing
6444517262239.419,290,X,0.382,1221244,1221244,203,cuda_runtime,45,cudaStreamGetPriority
6444517262240.136,291,X,0.38,1221244,1221244,205,cuda_runtime,45,cudaDeviceGetStreamPriorityRange
6444517262252.742,299,X,9.457,1221244,1221244,211,cuda_runtime,45,cudaLaunchKernel
6444517262292.463,305,X,7.941,1221244,1221244,211,cuda_runtime,53,cudaLaunchKernel
6444517262340.755,312,X,7.501,1221244,1221244,211,cuda_runtime,55,cudaLaunchKernel
6444517262433.329,325,X,2.353,1221244,1221244,135,cuda_runtime,59,cudaEventRecord
6444517262436.075,326,X,0.753,1221244,1221244,317,cuda_runtime,59,cudaStreamIsCapturing
6444517262437.128,327,X,0.602,1221244,1221244,203,cuda_runtime,59,cudaStreamGetPriority
6444517262438.042,328,X,0.544,1221244,1221244,205,cuda_runtime,59,cudaDeviceGetStreamPriorityRange
6444517262456.517,332,X,9.267,1221244,1221244,211,cuda_runtime,59,cudaLaunchKernel
6444517262468.003,334,X,5.933,1221244,1221244,211,cuda_runtime,59,cudaLaunchKernel
6444517262478.2,336,X,0.269,1221244,1221244,11,cuda_runtime,59,cudaPeekAtLastError
6444517262483.399,337,X,1.482,1221244,1221244,273,cuda_runtime,59,cudaFuncSetAttribute
6444517262485.145,338,X,0.511,1221244,1221244,273,cuda_runtime,59,cudaFuncSetAttribute
6444517262486.046,339,X,5.521,1221244,1221244,430,cuda_runtime,59,cudaLaunchKernelExC
6444517262492.748,341,X,0.139,1221244,1221244,11,cuda_runtime,59,cudaPeekAtLastError
6444517262554.162,348,X,8.197,1221244,1221244,211,cuda_runtime,60,cudaLaunchKernel
6444517262629.771,362,X,2.336,1221244,1221244,135,cuda_runtime,63,cudaEventRecord
6444517262632.473,363,X,0.771,1221244,1221244,317,cuda_runtime,63,cudaStreamIsCapturing
6444517262633.566,364,X,0.636,1221244,1221244,203,cuda_runtime,63,cudaStreamGetPriority
6444517262634.531,365,X,0.603,1221244,1221244,205,cuda_runtime,63,cudaDeviceGetStreamPriorityRange
6444517262673.063,389,X,1.207,1221244,1221244,135,cuda_runtime,63,cudaEventRecord
6444517262674.485,390,X,0.468,1221244,1221244,317,cuda_runtime,63,cudaStreamIsCapturing
6444517262675.155,391,X,0.378,1221244,1221244,203,cuda_runtime,63,cudaStreamGetPriority
6444517262675.756,392,X,0.368,1221244,1221244,205,cuda_runtime,63,cudaDeviceGetStreamPriorityRange
6444517262687.982,400,X,9.13,1221244,1221244,211,cuda_runtime,63,cudaLaunchKernel
6444517262742.903,407,X,7.78,1221244,1221244,211,cuda_runtime,72,cudaLaunchKernel
6444517262824.235,420,X,2.032,1221244,1221244,135,cuda_runtime,76,cudaEventRecord
6444517262826.673,421,X,0.691,1221244,1221244,317,cuda_runtime,76,cudaStreamIsCapturing
6444517262827.649,422,X,0.571,1221244,1221244,203,cuda_runtime,76,cudaStreamGetPriority
