ts,Input type,ph,Sequence number,Ev Idx,dur,tid,Fwd thread id,pid,Concrete Inputs,cat,Input Strides,Input Dims,External id,Record function id,name
6444517261281.172,"[""float"", ""float"", """", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar""]",X,74,21,138.233,1221244,0,1221244,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1""]",cpu_op,"[[200704, 3136, 56, 1], [576, 9, 3, 1], [], [], [], [], [], [], []]","[[5, 64, 56, 56], [64, 64, 3, 3], [], [], [], [], [], [], []]",22,0,aten::convolution
6444517261291.914,"[""float"", ""float"", """", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,,22,124.687,1221244,,1221244,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1"", ""False"", ""False"", ""True"", ""True""]",cpu_op,"[[200704, 3136, 56, 1], [576, 9, 3, 1], [], [], [], [], [], [], [], [], [], [], []]","[[5, 64, 56, 56], [64, 64, 3, 3], [], [], [], [], [], [], [], [], [], [], []]",23,0,aten::_convolution
6444517261300.636,"[""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,,23,114.248,1221244,,1221244,"["""", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""1"", ""False"", ""False"", ""True""]",cpu_op,"[[200704, 3136, 56, 1], [576, 9, 3, 1], [], [], [], [], [], [], []]","[[5, 64, 56, 56], [64, 64, 3, 3], [], [], [], [], [], [], []]",24,0,aten::cudnn_convolution
6444517261467.504,"[""long int"", ""long int"", ""Scalar""]",X,75,24,28.412,1221244,0,1221244,"["""", """", ""1""]",cpu_op,"[[], [], []]","[[], [], []]",25,0,aten::add_
6444517261530.009,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,75,25,162.498,1221244,0,1221244,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]",cpu_op,"[[200704, 3136, 56, 1], [1], [1], [1], [1], [], [], [], []]","[[5, 64, 56, 56], [64], [64], [64], [64], [], [], [], []]",26,0,aten::batch_norm
6444517261532.637,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,75,26,159.27,1221244,0,1221244,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]",cpu_op,"[[200704, 3136, 56, 1], [1], [1], [1], [1], [], [], [], []]","[[5, 64, 56, 56], [64], [64], [64], [64], [], [], [], []]",27,0,aten::_batch_norm_impl_index
6444517261538.249,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar""]",X,75,27,152.636,1221244,0,1221244,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05""]",cpu_op,"[[200704, 3136, 56, 1], [1], [1], [1], [1], [], [], []]","[[5, 64, 56, 56], [64], [64], [64], [64], [], [], []]",28,0,aten::cudnn_batch_norm
6444517261554.185,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",X,,28,48.421,1221244,,1221244,"["""", ""6"", ""0"", """", """", ""0""]",cpu_op,"[[200704, 3136, 56, 1], [], [], [], [], []]","[[5, 64, 56, 56], [], [], [], [], []]",29,0,aten::empty_like
6444517261590.377,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",X,,29,10.947,1221244,,1221244,"[""[5, 64, 56, 56]"", ""6"", ""0"", """", """", ""0""]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",30,0,aten::empty
6444517261619.966,"[""float"", ""ScalarList""]",X,,30,2.495,1221244,,1221244,"["""", ""[1, 64, 1, 1]""]",cpu_op,"[[1], []]","[[64], []]",31,0,aten::view
