ts,ph,tid,pid,cat,bp,id,name
6444517262483.399,f,1221244,1221244,ac2g,e,337,ac2g
6444517262485.145,f,1221244,1221244,ac2g,e,338,ac2g
6444517262492.604,f,7,0,ac2g,e,339,ac2g
6444517262486.046,s,1221244,1221244,ac2g,,339,ac2g
6444517262492.748,f,1221244,1221244,ac2g,e,341,ac2g
6444517262563.324,f,7,0,ac2g,e,348,ac2g
6444517262554.162,s,1221244,1221244,ac2g,,348,ac2g
6444517262629.771,f,1221244,1221244,ac2g,e,362,ac2g
6444517262632.473,f,1221244,1221244,ac2g,e,363,ac2g
6444517262633.566,f,1221244,1221244,ac2g,e,364,ac2g
6444517262634.531,f,1221244,1221244,ac2g,e,365,ac2g
6444517262673.063,f,1221244,1221244,ac2g,e,389,ac2g
6444517262674.485,f,1221244,1221244,ac2g,e,390,ac2g
6444517262675.155,f,1221244,1221244,ac2g,e,391,ac2g
6444517262675.756,f,1221244,1221244,ac2g,e,392,ac2g
6444517262697.532,f,7,0,ac2g,e,400,ac2g
6444517262687.982,s,1221244,1221244,ac2g,,400,ac2g
6444517262751.452,f,7,0,ac2g,e,407,ac2g
6444517262742.903,s,1221244,1221244,ac2g,,407,ac2g
6444517262824.235,f,1221244,1221244,ac2g,e,420,ac2g
6444517262826.673,f,1221244,1221244,ac2g,e,421,ac2g
6444517262827.649,f,1221244,1221244,ac2g,e,422,ac2g
6444517262828.532,f,1221244,1221244,ac2g,e,423,ac2g
6444517262852.22,f,7,0,ac2g,e,427,ac2g
6444517262842.963,s,1221244,1221244,ac2g,,427,ac2g
6444517262862.3,f,7,0,ac2g,e,429,ac2g
6444517262853.674,s,1221244,1221244,ac2g,,429,ac2g
6444517262862.463,f,1221244,1221244,ac2g,e,431,ac2g
6444517262867.383,f,1221244,1221244,ac2g,e,432,ac2g
6444517262869.238,f,1221244,1221244,ac2g,e,433,ac2g
6444517262877.404,f,7,0,ac2g,e,434,ac2g
6444517262870.219,s,1221244,1221244,ac2g,,434,ac2g
6444517262877.553,f,1221244,1221244,ac2g,e,436,ac2g
6444517262941.18,f,7,0,ac2g,e,443,ac2g
6444517262932.236,s,1221244,1221244,ac2g,,443,ac2g
6444517263004.686,f,1221244,1221244,ac2g,e,457,ac2g
6444517263007.376,f,1221244,1221244,ac2g,e,458,ac2g
6444517263008.399,f,1221244,1221244,ac2g,e,459,ac2g
6444517263009.282,f,1221244,1221244,ac2g,e,460,ac2g
6444517263049.418,f,1221244,1221244,ac2g,e,484,ac2g
6444517263050.933,f,1221244,1221244,ac2g,e,485,ac2g
6444517263051.625,f,1221244,1221244,ac2g,e,486,ac2g
6444517263052.202,f,1221244,1221244,ac2g,e,487,ac2g
6444517263073.757,f,7,0,ac2g,e,495,ac2g
6444517263064.508,s,1221244,1221244,ac2g,,495,ac2g
6444517263105.981,f,7,0,ac2g,e,501,ac2g
6444517263097.934,s,1221244,1221244,ac2g,,501,ac2g
6444517263147.581,f,7,0,ac2g,e,508,ac2g
6444517263139.721,s,1221244,1221244,ac2g,,508,ac2g
6444517263233.8,f,1221244,1221244,ac2g,e,519,ac2g
6444517263235.818,f,1221244,1221244,ac2g,e,520,ac2g
6444517263360.245,f,1221244,1221244,ac2g,e,525,ac2g
6444517263363.459,f,1221244,1221244,ac2g,e,526,ac2g
6444517263364.483,f,1221244,1221244,ac2g,e,527,ac2g
6444517263365.714,f,1221244,1221244,ac2g,e,528,ac2g
6444517263401.533,f,7,0,ac2g,e,532,ac2g
6444517263387.839,s,1221244,1221244,ac2g,,532,ac2g
6444517263412.67,f,7,0,ac2g,e,534,ac2g
6444517263403.93,s,1221244,1221244,ac2g,,534,ac2g
6444517263415.475,f,1221244,1221244,ac2g,e,536,ac2g
6444517263417.887,f,1221244,1221244,ac2g,e,537,ac2g
6444517263426.846,f,7,0,ac2g,e,538,ac2g
6444517263419.639,s,1221244,1221244,ac2g,,538,ac2g
6444517263427.896,f,1221244,1221244,ac2g,e,541,ac2g
6444517263444.99,f,7,0,ac2g,e,542,ac2g
6444517263431.546,s,1221244,1221244,ac2g,,542,ac2g
6444517263522.59,f,7,0,ac2g,e,550,ac2g
6444517263513.424,s,1221244,1221244,ac2g,,550,ac2g
6444517263597.022,f,1221244,1221244,ac2g,e,564,ac2g
6444517263600.082,f,1221244,1221244,ac2g,e,565,ac2g
6444517263601.195,f,1221244,1221244,ac2g,e,566,ac2g
6444517263602.427,f,1221244,1221244,ac2g,e,567,ac2g
6444517263646.325,f,1221244,1221244,ac2g,e,591,ac2g
6444517263647.877,f,1221244,1221244,ac2g,e,592,ac2g
6444517263648.565,f,1221244,1221244,ac2g,e,593,ac2g
6444517263649.291,f,1221244,1221244,ac2g,e,594,ac2g
6444517263662.48,f,1221244,1221244,ac2g,e,602,ac2g
6444517263674.879,f,7,0,ac2g,e,603,ac2g
6444517263665.76,s,1221244,1221244,ac2g,,603,ac2g
6444517263731.679,f,7,0,ac2g,e,611,ac2g
6444517263722.738,s,1221244,1221244,ac2g,,611,ac2g
6444517263805.186,f,1221244,1221244,ac2g,e,624,ac2g
6444517263807.759,f,1221244,1221244,ac2g,e,625,ac2g
6444517263808.646,f,1221244,1221244,ac2g,e,626,ac2g
6444517263809.541,f,1221244,1221244,ac2g,e,627,ac2g
6444517263842.111,f,7,0,ac2g,e,631,ac2g
6444517263832.515,s,1221244,1221244,ac2g,,631,ac2g
6444517263849.887,f,7,0,ac2g,e,633,ac2g
6444517263844.062,s,1221244,1221244,ac2g,,633,ac2g
6444517263853.988,f,1221244,1221244,ac2g,e,635,ac2g
6444517263859.774,f,1221244,1221244,ac2g,e,636,ac2g
6444517263861.608,f,1221244,1221244,ac2g,e,637,ac2g
6444517263869.599,f,7,0,ac2g,e,638,ac2g
6444517263862.607,s,1221244,1221244,ac2g,,638,ac2g
6444517263870.461,f,1221244,1221244,ac2g,e,640,ac2g
6444517263939.999,f,7,0,ac2g,e,647,ac2g
6444517263930.729,s,1221244,1221244,ac2g,,647,ac2g
6444517264005.584,f,1221244,1221244,ac2g,e,661,ac2g
6444517264008.348,f,1221244,1221244,ac2g,e,662,ac2g
6444517264009.35,f,1221244,1221244,ac2g,e,663,ac2g
6444517264010.319,f,1221244,1221244,ac2g,e,664,ac2g
6444517264050.564,f,1221244,1221244,ac2g,e,688,ac2g
6444517264052.408,f,1221244,1221244,ac2g,e,689,ac2g
6444517264053.121,f,1221244,1221244,ac2g,e,690,ac2g
6444517264053.865,f,1221244,1221244,ac2g,e,691,ac2g
6444517264065.562,f,1221244,1221244,ac2g,e,699,ac2g
6444517264077.599,f,7,0,ac2g,e,700,ac2g
6444517264068.211,s,1221244,1221244,ac2g,,700,ac2g
6444517264169.246,f,1221244,1221244,ac2g,e,712,ac2g
6444517264171.629,f,1221244,1221244,ac2g,e,713,ac2g
6444517264172.408,f,1221244,1221244,ac2g,e,714,ac2g
6444517264173.247,f,1221244,1221244,ac2g,e,715,ac2g
6444517264202.88,f,7,0,ac2g,e,719,ac2g
6444517264192.697,s,1221244,1221244,ac2g,,719,ac2g
6444517264203.223,f,1221244,1221244,ac2g,e,720,ac2g
6444517264207.155,s,1221244,1221244,ac2g,,721,ac2g
6444517264220.735,f,7,0,ac2g,e,722,ac2g
6444517264208.324,s,1221244,1221244,ac2g,,722,ac2g
6444517264220.887,f,1221244,1221244,ac2g,e,723,ac2g
6444517264284.64,f,7,0,ac2g,e,730,ac2g
6444517264275.051,s,1221244,1221244,ac2g,,730,ac2g
6444517264349.409,f,1221244,1221244,ac2g,e,744,ac2g
6444517264352.005,f,1221244,1221244,ac2g,e,745,ac2g
6444517264353.008,f,1221244,1221244,ac2g,e,746,ac2g
6444517264353.925,f,1221244,1221244,ac2g,e,747,ac2g
6444517264393.064,f,1221244,1221244,ac2g,e,771,ac2g
6444517264394.579,f,1221244,1221244,ac2g,e,772,ac2g
6444517264395.331,f,1221244,1221244,ac2g,e,773,ac2g
6444517264396.057,f,1221244,1221244,ac2g,e,774,ac2g
6444517264407.621,f,1221244,1221244,ac2g,e,782,ac2g
6444517264418.784,f,7,0,ac2g,e,783,ac2g
6444517264410.165,s,1221244,1221244,ac2g,,783,ac2g
6444517264453.344,f,7,0,ac2g,e,790,ac2g
6444517264446.023,s,1221244,1221244,ac2g,,790,ac2g
6444517264496.864,f,7,0,ac2g,e,797,ac2g
6444517264489.561,s,1221244,1221244,ac2g,,797,ac2g
6444517264588.673,f,1221244,1221244,ac2g,e,810,ac2g
6444517264591.511,f,1221244,1221244,ac2g,e,811,ac2g
6444517264592.657,f,1221244,1221244,ac2g,e,812,ac2g
6444517264593.551,f,1221244,1221244,ac2g,e,813,ac2g
6444517264618.176,f,7,0,ac2g,e,817,ac2g
6444517264608.827,s,1221244,1221244,ac2g,,817,ac2g
6444517264628.737,f,7,0,ac2g,e,819,ac2g
6444517264620.127,s,1221244,1221244,ac2g,,819,ac2g
6444517264632.313,f,1221244,1221244,ac2g,e,821,ac2g
6444517264637.586,f,1221244,1221244,ac2g,e,822,ac2g
6444517264639.511,f,1221244,1221244,ac2g,e,823,ac2g
6444517264647.809,f,7,0,ac2g,e,824,ac2g
6444517264640.542,s,1221244,1221244,ac2g,,824,ac2g
6444517264647.851,f,1221244,1221244,ac2g,e,826,ac2g
6444517264713.089,f,7,0,ac2g,e,833,ac2g
6444517264703.402,s,1221244,1221244,ac2g,,833,ac2g
6444517264776.848,f,1221244,1221244,ac2g,e,847,ac2g
6444517264779.638,f,1221244,1221244,ac2g,e,848,ac2g
6444517264780.838,f,1221244,1221244,ac2g,e,849,ac2g
6444517264781.753,f,1221244,1221244,ac2g,e,850,ac2g
6444517264818.138,f,1221244,1221244,ac2g,e,874,ac2g
6444517264819.625,f,1221244,1221244,ac2g,e,875,ac2g
6444517264820.313,f,1221244,1221244,ac2g,e,876,ac2g
6444517264820.955,f,1221244,1221244,ac2g,e,877,ac2g
6444517264832.616,f,1221244,1221244,ac2g,e,885,ac2g
6444517264843.329,f,7,0,ac2g,e,886,ac2g
6444517264835.045,s,1221244,1221244,ac2g,,886,ac2g
6444517264893.697,f,7,0,ac2g,e,894,ac2g
6444517264886.016,s,1221244,1221244,ac2g,,894,ac2g
6444517264972.951,f,1221244,1221244,ac2g,e,907,ac2g
6444517264975.497,f,1221244,1221244,ac2g,e,908,ac2g
6444517264976.562,f,1221244,1221244,ac2g,e,909,ac2g
6444517264977.457,f,1221244,1221244,ac2g,e,910,ac2g
6444517265003.138,f,7,0,ac2g,e,914,ac2g
6444517264994.056,s,1221244,1221244,ac2g,,914,ac2g
6444517265011.169,f,7,0,ac2g,e,916,ac2g
6444517265004.601,s,1221244,1221244,ac2g,,916,ac2g
6444517265014.077,f,1221244,1221244,ac2g,e,918,ac2g
6444517265018.9,f,1221244,1221244,ac2g,e,919,ac2g
6444517265020.695,f,1221244,1221244,ac2g,e,920,ac2g
6444517265027.874,f,7,0,ac2g,e,921,ac2g
6444517265021.715,s,1221244,1221244,ac2g,,921,ac2g
6444517265027.944,f,1221244,1221244,ac2g,e,923,ac2g
6444517265092.546,f,7,0,ac2g,e,930,ac2g
6444517265083.429,s,1221244,1221244,ac2g,,930,ac2g
6444517265156.503,f,1221244,1221244,ac2g,e,944,ac2g
6444517265159.167,f,1221244,1221244,ac2g,e,945,ac2g
6444517265160.19,f,1221244,1221244,ac2g,e,946,ac2g
6444517265161.16,f,1221244,1221244,ac2g,e,947,ac2g
6444517265200.717,f,1221244,1221244,ac2g,e,971,ac2g
6444517265202.223,f,1221244,1221244,ac2g,e,972,ac2g
6444517265202.906,f,1221244,1221244,ac2g,e,973,ac2g
6444517265203.557,f,1221244,1221244,ac2g,e,974,ac2g
6444517265214.981,f,1221244,1221244,ac2g,e,982,ac2g
6444517265227.01,f,7,0,ac2g,e,983,ac2g
6444517265217.454,s,1221244,1221244,ac2g,,983,ac2g
6444517265259.202,f,7,0,ac2g,e,990,ac2g
6444517265251.874,s,1221244,1221244,ac2g,,990,ac2g
6444517265301.026,f,7,0,ac2g,e,997,ac2g
6444517265293.738,s,1221244,1221244,ac2g,,997,ac2g
6444517265397.335,f,1221244,1221244,ac2g,e,1010,ac2g
6444517265400.222,f,1221244,1221244,ac2g,e,1011,ac2g
6444517265401.185,f,1221244,1221244,ac2g,e,1012,ac2g
6444517265402.249,f,1221244,1221244,ac2g,e,1013,ac2g
6444517265410.33,f,1221244,1221244,ac2g,e,1019,ac2g
6444517265411.939,f,1221244,1221244,ac2g,e,1020,ac2g
6444517265579.395,f,7,0,ac2g,e,1021,ac2g
6444517265547.761,s,1221244,1221244,ac2g,,1021,ac2g
6444517265589.059,f,7,0,ac2g,e,1023,ac2g
6444517265582.399,s,1221244,1221244,ac2g,,1023,ac2g
6444517265592.628,f,1221244,1221244,ac2g,e,1025,ac2g
6444517265594.831,f,1221244,1221244,ac2g,e,1026,ac2g
6444517265603.587,f,7,0,ac2g,e,1027,ac2g
6444517265596.873,s,1221244,1221244,ac2g,,1027,ac2g
6444517265604.661,f,1221244,1221244,ac2g,e,1030,ac2g
6444517265621.635,f,7,0,ac2g,e,1031,ac2g
6444517265607.591,s,1221244,1221244,ac2g,,1031,ac2g
6444517265706.275,f,7,0,ac2g,e,1039,ac2g
6444517265696.987,s,1221244,1221244,ac2g,,1039,ac2g
6444517265782.123,f,1221244,1221244,ac2g,e,1053,ac2g
6444517265785.372,f,1221244,1221244,ac2g,e,1054,ac2g
6444517265786.571,f,1221244,1221244,ac2g,e,1055,ac2g
6444517265787.692,f,1221244,1221244,ac2g,e,1056,ac2g
6444517265829.682,f,1221244,1221244,ac2g,e,1080,ac2g
