start,pid,tid,name,cbid,end,cat,correlation,dur
1732610751724166.0,1943033,1641977664,cuGetProcAddress,626,1732610751724166.5,cuda_driver,84,0.417
1732610751724166.5,1943033,1641977664,cuGetProcAddress,626,1732610751724166.8,cuda_driver,85,0.242
1732610751724167.0,1943033,1641977664,cuGetProcAddress,626,1732610751724167.2,cuda_driver,86,0.395
1732610751724167.5,1943033,1641977664,cuGetProcAddress,626,1732610751724168.0,cuda_driver,87,0.63
1732610751724168.2,1943033,1641977664,cuGetProcAddress,626,1732610751724168.5,cuda_driver,88,0.37
1732610751724168.8,1943033,1641977664,cuGetProcAddress,626,1732610751724169.2,cuda_driver,89,0.59
1732610751724169.5,1943033,1641977664,cuGetProcAddress,626,1732610751724170.0,cuda_driver,90,0.388
1732610751724170.0,1943033,1641977664,cuGetProcAddress,626,1732610751724170.5,cuda_driver,91,0.405
1732610751724170.5,1943033,1641977664,cuGetProcAddress,626,1732610751724170.8,cuda_driver,92,0.244
1732610751724171.0,1943033,1641977664,cuGetProcAddress,626,1732610751724171.2,cuda_driver,93,0.375
1732610751724171.5,1943033,1641977664,cuGetProcAddress,626,1732610751724172.0,cuda_driver,94,0.586
1732610751724172.2,1943033,1641977664,cuGetProcAddress,626,1732610751724172.8,cuda_driver,95,0.421
1732610751724172.8,1943033,1641977664,cuGetProcAddress,626,1732610751724173.5,cuda_driver,96,0.618
1732610751724173.5,1943033,1641977664,cuGetProcAddress,626,1732610751724174.2,cuda_driver,97,0.859
1732610751724174.8,1943033,1641977664,cuGetProcAddress,626,1732610751724175.2,cuda_driver,98,0.49
1732610751724175.5,1943033,1641977664,cuGetProcAddress,626,1732610751724175.8,cuda_driver,99,0.44
1732610751724176.0,1943033,1641977664,cuGetProcAddress,626,1732610751724176.5,cuda_driver,100,0.398
1732610751724176.5,1943033,1641977664,cuGetProcAddress,626,1732610751724176.8,cuda_driver,101,0.195
1732610751724177.0,1943033,1641977664,cuGetProcAddress,626,1732610751724177.2,cuda_driver,102,0.437
1732610751724177.5,1943033,1641977664,cuGetProcAddress,626,1732610751724177.8,cuda_driver,103,0.263
1732610751724177.8,1943033,1641977664,cuGetProcAddress,626,1732610751724178.0,cuda_driver,104,0.23
1732610751724178.2,1943033,1641977664,cuGetProcAddress,626,1732610751724178.5,cuda_driver,105,0.224
1732610751724178.5,1943033,1641977664,cuGetProcAddress,626,1732610751724179.0,cuda_driver,106,0.405
1732610751724179.2,1943033,1641977664,cuGetProcAddress,626,1732610751724179.5,cuda_driver,107,0.398
1732610751724179.8,1943033,1641977664,cuGetProcAddress,626,1732610751724180.0,cuda_driver,108,0.25
1732610751724180.0,1943033,1641977664,cuGetProcAddress,626,1732610751724180.2,cuda_driver,109,0.249
1732610751724180.5,1943033,1641977664,cuGetProcAddress,626,1732610751724180.8,cuda_driver,110,0.372
1732610751724181.0,1943033,1641977664,cuGetProcAddress,626,1732610751724181.2,cuda_driver,111,0.398
1732610751724181.5,1943033,1641977664,cuGetProcAddress,626,1732610751724182.0,cuda_driver,112,0.566
1732610751724182.2,1943033,1641977664,cuGetProcAddress,626,1732610751724182.8,cuda_driver,113,0.471
1732610751724182.8,1943033,1641977664,cuGetProcAddress,626,1732610751724183.0,cuda_driver,114,0.307
1732610751724183.2,1943033,1641977664,cuGetProcAddress,626,1732610751724183.5,cuda_driver,115,0.246
