start,device,context,name,stream,end,bytes,cat,External id,correlation,dur
1732610751732887.8,0,1,Memset,14,1732610751732891.0,16128,gpu_memset,0,667,3.008
1732610751940349.5,0,1,Memset,7,1732610751940350.2,784,gpu_memset,0,2441,0.896
1732610751946936.5,0,1,Memset,7,1732610751946937.8,400,gpu_memset,0,2774,1.024
1732610751947373.5,0,1,Memset,7,1732610751947374.8,400,gpu_memset,0,2869,0.864
1732610751985368.2,0,1,Memset,7,1732610751985369.5,128,gpu_memset,0,4120,0.896
1732610751987454.8,0,1,Memset,7,1732610751987455.8,128,gpu_memset,0,4219,1.12
1732610751988033.5,0,1,Memset,7,1732610751988034.2,128,gpu_memset,0,4322,0.864
