start,pid,tid,name,cbid,end,cat,correlation,dur
1732610751987868.5,1943033,1641977664,cudaGetDevice,17,1732610751987869.0,cuda_runtime,4296,0.425
1732610751987873.0,1943033,1641977664,cudaGetDevice,17,1732610751987873.2,cuda_runtime,4297,0.444
1732610751987876.5,1943033,1641977664,cudaGetDevice,17,1732610751987877.0,cuda_runtime,4298,0.456
1732610751987878.8,1943033,1641977664,cudaLaunchKernel,211,1732610751987888.0,cuda_runtime,4299,9.241
1732610751987888.5,1943033,1641977664,cudaGetLastError,10,1732610751987888.8,cuda_runtime,4300,0.302
1732610751987889.2,1943033,1641977664,cudaGetDevice,17,1732610751987889.8,cuda_runtime,4301,0.451
1732610751987890.5,1943033,1641977664,cudaGetDevice,17,1732610751987891.0,cuda_runtime,4302,0.413
1732610751987891.2,1943033,1641977664,cudaGetDevice,17,1732610751987891.5,cuda_runtime,4303,0.353
1732610751987943.8,1943033,1641977664,cudaGetDevice,17,1732610751987944.5,cuda_runtime,4304,0.644
1732610751987946.0,1943033,1641977664,cudaGetDevice,17,1732610751987946.5,cuda_runtime,4305,0.395
1732610751987947.0,1943033,1641977664,cudaGetDevice,17,1732610751987947.5,cuda_runtime,4306,0.428
1732610751987951.2,1943033,1641977664,cudaGetDevice,17,1732610751987951.5,cuda_runtime,4307,0.436
1732610751987955.0,1943033,1641977664,cudaGetDevice,17,1732610751987955.5,cuda_runtime,4308,0.45
1732610751987956.0,1943033,1641977664,cudaGetDevice,17,1732610751987956.2,cuda_runtime,4309,0.392
1732610751987957.5,1943033,1641977664,cudaEventRecord,135,1732610751987960.2,cuda_runtime,4310,2.735
1732610751987960.5,1943033,1641977664,cudaStreamIsCapturing,317,1732610751987961.8,cuda_runtime,4311,0.885
1732610751987962.0,1943033,1641977664,cudaStreamGetPriority,203,1732610751987962.8,cuda_runtime,4312,0.837
1732610751987963.0,1943033,1641977664,cudaDeviceGetStreamPriorityRange,205,1732610751987963.8,cuda_runtime,4313,0.768
1732610751987964.8,1943033,1641977664,cudaGetDevice,17,1732610751987965.0,cuda_runtime,4314,0.416
1732610751987966.5,1943033,1641977664,cudaGetDevice,17,1732610751987967.0,cuda_runtime,4315,0.41
1732610751987967.2,1943033,1641977664,cudaGetDevice,17,1732610751987967.5,cuda_runtime,4316,0.419
1732610751987980.2,1943033,1641977664,cudaLaunchKernel,211,1732610751987990.0,cuda_runtime,4317,9.571
1732610751987990.2,1943033,1641977664,cudaGetLastError,10,1732610751987990.8,cuda_runtime,4318,0.486
1732610751987992.0,1943033,1641977664,cudaLaunchKernel,211,1732610751987997.2,cuda_runtime,4319,5.1
1732610751987997.5,1943033,1641977664,cudaGetLastError,10,1732610751987997.8,cuda_runtime,4320,0.212
1732610751988001.8,1943033,1641977664,cudaPeekAtLastError,11,1732610751988002.0,cuda_runtime,4321,0.315
1732610751988005.8,1943033,1641977664,cudaMemsetAsync,51,1732610751988013.2,cuda_runtime,4322,7.59
1732610751988014.8,1943033,1641977664,cudaFuncSetAttribute,273,1732610751988016.5,cuda_runtime,4323,1.618
1732610751988016.5,1943033,1641977664,cudaFuncSetAttribute,273,1732610751988017.2,cuda_runtime,4324,0.591
1732610751988017.5,1943033,1641977664,cudaLaunchKernelExC_v11060,430,1732610751988025.0,cuda_runtime,4325,7.797
1732610751988025.5,1943033,1641977664,cudaGetLastError,10,1732610751988025.8,cuda_runtime,4326,0.236
1732610751988026.5,1943033,1641977664,cudaPeekAtLastError,11,1732610751988026.8,cuda_runtime,4327,0.194
1732610751988029.0,1943033,1641977664,cudaLaunchKernel,211,1732610751988035.0,cuda_runtime,4328,6.163
1732610751988035.2,1943033,1641977664,cudaGetLastError,10,1732610751988035.5,cuda_runtime,4329,0.258
1732610751988039.0,1943033,1641977664,cudaGetDevice,17,1732610751988039.5,cuda_runtime,4330,0.51
1732610751988040.0,1943033,1641977664,cudaGetDevice,17,1732610751988040.2,cuda_runtime,4331,0.406
1732610751988049.5,1943033,1641977664,cudaGetDevice,17,1732610751988050.0,cuda_runtime,4332,0.467
1732610751988053.5,1943033,1641977664,cudaGetDevice,17,1732610751988054.0,cuda_runtime,4333,0.516
1732610751988055.5,1943033,1641977664,cudaLaunchKernel,211,1732610751988062.0,cuda_runtime,4334,6.631
1732610751988062.8,1943033,1641977664,cudaGetLastError,10,1732610751988063.0,cuda_runtime,4335,0.318
1732610751988063.5,1943033,1641977664,cudaGetDevice,17,1732610751988064.0,cuda_runtime,4336,0.418
1732610751988094.8,1943033,1641977664,cudaGetDevice,17,1732610751988095.2,cuda_runtime,4337,0.618
1732610751988097.5,1943033,1641977664,cudaGetDevice,17,1732610751988098.0,cuda_runtime,4338,0.438
1732610751988098.8,1943033,1641977664,cudaLaunchKernel,211,1732610751988106.0,cuda_runtime,4339,7.303
1732610751988106.5,1943033,1641977664,cudaGetLastError,10,1732610751988106.8,cuda_runtime,4340,0.216
1732610751988107.0,1943033,1641977664,cudaGetDevice,17,1732610751988107.5,cuda_runtime,4341,0.43
1732610751988140.0,1943033,1641977664,cudaGetDevice,17,1732610751988140.5,cuda_runtime,4342,0.551
1732610751988147.2,1943033,1641977664,cudaGetDevice,17,1732610751988147.8,cuda_runtime,4343,0.486
1732610751988148.5,1943033,1641977664,cudaGetDevice,17,1732610751988148.8,cuda_runtime,4344,0.399
1732610751988149.2,1943033,1641977664,cudaGetDevice,17,1732610751988149.8,cuda_runtime,4345,0.404
1732610751988153.5,1943033,1641977664,cudaGetDevice,17,1732610751988154.0,cuda_runtime,4346,0.465
1732610751988154.2,1943033,1641977664,cudaGetDevice,17,1732610751988154.8,cuda_runtime,4347,0.422
1732610751988155.8,1943033,1641977664,cudaGetDevice,17,1732610751988156.0,cuda_runtime,4348,0.404
1732610751988156.5,1943033,1641977664,cudaGetDevice,17,1732610751988156.8,cuda_runtime,4349,0.387
1732610751988157.8,1943033,1641977664,cudaEventRecord,135,1732610751988159.8,cuda_runtime,4350,1.994
1732610751988160.0,1943033,1641977664,cudaStreamIsCapturing,317,1732610751988160.8,cuda_runtime,4351,0.879
1732610751988161.2,1943033,1641977664,cudaStreamGetPriority,203,1732610751988161.8,cuda_runtime,4352,0.67
1732610751988162.0,1943033,1641977664,cudaDeviceGetStreamPriorityRange,205,1732610751988162.5,cuda_runtime,4353,0.649
1732610751988169.2,1943033,1641977664,cudaGetDevice,17,1732610751988169.8,cuda_runtime,4354,0.505
1732610751988170.0,1943033,1641977664,cudaGetDevice,17,1732610751988170.5,cuda_runtime,4355,0.405
1732610751988170.8,1943033,1641977664,cudaGetDevice,17,1732610751988171.2,cuda_runtime,4356,0.387
1732610751988173.0,1943033,1641977664,cudaGetDevice,17,1732610751988173.5,cuda_runtime,4357,0.474
1732610751988173.8,1943033,1641977664,cudaGetDevice,17,1732610751988174.0,cuda_runtime,4358,0.391
1732610751988174.8,1943033,1641977664,cudaGetDevice,17,1732610751988175.2,cuda_runtime,4359,0.379
1732610751988175.5,1943033,1641977664,cudaGetDevice,17,1732610751988175.8,cuda_runtime,4360,0.344
1732610751988176.0,1943033,1641977664,cudaGetDevice,17,1732610751988176.5,cuda_runtime,4361,0.405
1732610751988178.0,1943033,1641977664,cudaGetDevice,17,1732610751988178.5,cuda_runtime,4362,0.463
1732610751988178.8,1943033,1641977664,cudaGetDevice,17,1732610751988179.0,cuda_runtime,4363,0.4
1732610751988180.5,1943033,1641977664,cudaGetDevice,17,1732610751988181.0,cuda_runtime,4364,0.416
1732610751988181.2,1943033,1641977664,cudaGetDevice,17,1732610751988181.5,cuda_runtime,4365,0.413
1732610751988181.8,1943033,1641977664,cudaGetDevice,17,1732610751988182.2,cuda_runtime,4366,0.389
1732610751988183.0,1943033,1641977664,cudaGetDevice,17,1732610751988183.5,cuda_runtime,4367,0.443
1732610751988183.5,1943033,1641977664,cudaGetDevice,17,1732610751988184.0,cuda_runtime,4368,0.376
1732610751988185.0,1943033,1641977664,cudaGetDevice,17,1732610751988185.5,cuda_runtime,4369,0.451
1732610751988185.8,1943033,1641977664,cudaGetDevice,17,1732610751988186.2,cuda_runtime,4370,0.434
1732610751988186.5,1943033,1641977664,cudaEventRecord,135,1732610751988187.5,cuda_runtime,4371,1.007
1732610751988187.5,1943033,1641977664,cudaStreamIsCapturing,317,1732610751988188.0,cuda_runtime,4372,0.504
1732610751988188.2,1943033,1641977664,cudaStreamGetPriority,203,1732610751988188.8,cuda_runtime,4373,0.506
1732610751988188.8,1943033,1641977664,cudaDeviceGetStreamPriorityRange,205,1732610751988189.2,cuda_runtime,4374,0.475
1732610751988190.5,1943033,1641977664,cudaGetDevice,17,1732610751988191.0,cuda_runtime,4375,0.454
1732610751988191.2,1943033,1641977664,cudaGetDevice,17,1732610751988191.5,cuda_runtime,4376,0.383
1732610751988192.0,1943033,1641977664,cudaGetDevice,17,1732610751988200.8,cuda_runtime,4377,8.681
1732610751988201.2,1943033,1641977664,cudaGetDevice,17,1732610751988201.8,cuda_runtime,4378,0.453
1732610751988202.0,1943033,1641977664,cudaGetDevice,17,1732610751988202.5,cuda_runtime,4379,0.387
1732610751988205.8,1943033,1641977664,cudaFuncSetAttribute,273,1732610751988208.0,cuda_runtime,4380,2.021
1732610751988208.8,1943033,1641977664,cudaLaunchKernel,211,1732610751988217.0,cuda_runtime,4381,8.344
1732610751988217.5,1943033,1641977664,cudaGetLastError,10,1732610751988218.0,cuda_runtime,4382,0.42
1732610751988218.2,1943033,1641977664,cudaGetLastError,10,1732610751988218.2,cuda_runtime,4383,0.186
1732610751988219.5,1943033,1641977664,cudaGetDevice,17,1732610751988220.0,cuda_runtime,4384,0.442
1732610751988240.5,1943033,1641977664,cudaGetDevice,17,1732610751988241.0,cuda_runtime,4385,0.587
1732610751988241.5,1943033,1641977664,cudaGetDevice,17,1732610751988242.0,cuda_runtime,4386,0.435
1732610751988242.8,1943033,1641977664,cudaGetDevice,17,1732610751988243.0,cuda_runtime,4387,0.444
1732610751988246.0,1943033,1641977664,cudaGetDevice,17,1732610751988246.2,cuda_runtime,4388,0.42
1732610751988246.8,1943033,1641977664,cudaGetDevice,17,1732610751988247.0,cuda_runtime,4389,0.39
1732610751988252.0,1943033,1641977664,cudaGetDevice,17,1732610751988252.5,cuda_runtime,4390,0.439
1732610751988253.0,1943033,1641977664,cudaMemcpyAsync,41,1732610751988267.8,cuda_runtime,4391,14.758
1732610751988268.2,1943033,1641977664,cudaGetLastError,10,1732610751988268.5,cuda_runtime,4392,0.334
1732610751988269.0,1943033,1641977664,cudaGetDevice,17,1732610751988269.2,cuda_runtime,4393,0.453
1732610751988273.0,1943033,1641977664,cudaGetDevice,17,1732610751988273.5,cuda_runtime,4394,0.467
1732610751988274.2,1943033,1641977664,cudaGetDevice,17,1732610751988274.5,cuda_runtime,4395,0.437
1732610751988277.5,1943033,1641977664,cudaGetDevice,17,1732610751988278.0,cuda_runtime,4396,0.417
1732610751988280.2,1943033,1641977664,cudaGetDevice,17,1732610751988280.8,cuda_runtime,4397,0.452
1732610751988282.2,1943033,1641977664,cudaLaunchKernel,211,1732610751988289.2,cuda_runtime,4398,6.998
1732610751988289.5,1943033,1641977664,cudaGetLastError,10,1732610751988289.8,cuda_runtime,4399,0.248
1732610751988290.5,1943033,1641977664,cudaGetDevice,17,1732610751988290.8,cuda_runtime,4400,0.436
1732610751988291.2,1943033,1641977664,cudaGetDevice,17,1732610751988292.0,cuda_runtime,4401,0.402
1732610751988292.2,1943033,1641977664,cudaGetDevice,17,1732610751988292.8,cuda_runtime,4402,0.373
1732610751988319.5,1943033,1641977664,cudaGetDevice,17,1732610751988320.2,cuda_runtime,4403,0.645
1732610751988320.8,1943033,1641977664,cudaGetDevice,17,1732610751988321.0,cuda_runtime,4404,0.381
1732610751988321.5,1943033,1641977664,cudaGetDevice,17,1732610751988322.0,cuda_runtime,4405,0.392
1732610751988325.0,1943033,1641977664,cudaGetDevice,17,1732610751988325.5,cuda_runtime,4406,0.432
1732610751988326.0,1943033,1641977664,cudaGetDevice,17,1732610751988326.5,cuda_runtime,4407,0.395
