start,device,context,block,name,stream,shared memory,grid,end,cat,correlation,dur
1732547350176831.5,0,1,"512,1,1",_ZN5cudnn25bn_fw_tr_1C11_kernel_NCHWIffiLi512ELb1ELi1ELb1EEEv17cudnnTensorStructPKT_S1_PS2_PKT0_S8_S6_S6_PS6_S9_S9_S9_S6_S6_,7,144,"128,1,1",0.0,kernel,2335,-1732547350176831.5
1732547350176959.5,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_49_GLOBAL__N__d2ba64fb_16_TensorCompare_cu_71e06f4e19launch_clamp_scalarERNS_18TensorIteratorBaseEN3c106ScalarES6_NS0_6detail11ClampLimitsEENKUlvE_clEvENKUlvE5_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"3136,1,1",0.0,kernel,2351,-1732547350176959.5
1732547350179090.2,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nchwToNhwcKernelIfffLb0ELb1EL21cudnnKernelDataType_t2EEEvNS0_18nchw2nhwc_params_tIT1_EEPKT_PT0_,7,4224,"392,4,1",0.0,kernel,2436,-1732547350179090.2
1732547350179113.5,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nchwToNhwcKernelIfffLb0ELb1EL21cudnnKernelDataType_t2EEEvNS0_18nchw2nhwc_params_tIT1_EEPKT_PT0_,7,4224,"1,4,128",0.0,kernel,2438,-1732547350179113.5
1732547350181513.8,0,1,"128,1,1",sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage3_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn,7,49152,"1,98,2",0.0,kernel,2442,-1732547350181513.8
1732547350181613.5,0,1,"128,1,1",_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,7,0,"6272,1,1",0.0,kernel,2449,-1732547350181613.5
1732547350181683.8,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_21CUDAFunctorOnSelf_addIlEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"1,1,1",0.0,kernel,2454,-1732547350181683.8
1732547350181811.5,0,1,"512,1,1",_ZN5cudnn25bn_fw_tr_1C11_kernel_NCHWIffiLi512ELb1ELi1ELb1EEEv17cudnnTensorStructPKT_S1_PS2_PKT0_S8_S6_S6_PS6_S9_S9_S9_S6_S6_,7,144,"128,1,1",0.0,kernel,2495,-1732547350181811.5
1732547350181906.5,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_49_GLOBAL__N__d2ba64fb_16_TensorCompare_cu_71e06f4e19launch_clamp_scalarERNS_18TensorIteratorBaseEN3c106ScalarES6_NS0_6detail11ClampLimitsEENKUlvE_clEvENKUlvE5_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"3136,1,1",0.0,kernel,2511,-1732547350181906.5
1732547350181983.8,0,1,"256,1,1",_ZN2at6native52_GLOBAL__N__e57809e0_19_DilatedMaxPool2d_cu_6258b57421max_pool_forward_nchwIfEEviPKT_llliiiiiiiiiiPS3_Pl,7,0,"1568,1,1",0.0,kernel,2525,-1732547350181983.8
1732547350184049.2,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nchwToNhwcKernelIfffLb0ELb1EL21cudnnKernelDataType_t2EEEvNS0_18nchw2nhwc_params_tIT1_EEPKT_PT0_,7,4224,"98,4,1",0.0,kernel,2608,-1732547350184049.2
1732547350184059.5,0,1,"256,1,1",_ZN5cudnn19engines_precompiled16nchwToNhwcKernelIfffLb0ELb1EL21cudnnKernelDataType_t2EEEvNS0_18nchw2nhwc_params_tIT1_EEPKT_PT0_,7,4224,"1,4,256",0.0,kernel,2610,-1732547350184059.5
