start,pid,tid,name,cbid,end,cat,correlation,dur
1732547350200865.5,3315930,1471948608,cudaGetDevice,17,1732547350200866.0,cuda_runtime,3413,0.395
1732547350200866.5,3315930,1471948608,cudaGetDevice,17,1732547350200866.8,cuda_runtime,3414,0.403
1732547350200869.8,3315930,1471948608,cudaGetDevice,17,1732547350200870.0,cuda_runtime,3415,0.421
1732547350200870.5,3315930,1471948608,cudaGetDevice,17,1732547350200871.0,cuda_runtime,3416,0.393
1732547350200871.5,3315930,1471948608,cudaGetDevice,17,1732547350200871.8,cuda_runtime,3417,0.436
1732547350200873.5,3315930,1471948608,cudaGetDevice,17,1732547350200873.8,cuda_runtime,3418,0.408
1732547350200878.2,3315930,1471948608,cudaGetDevice,17,1732547350200878.8,cuda_runtime,3419,0.408
1732547350200879.2,3315930,1471948608,cudaGetDevice,17,1732547350200879.8,cuda_runtime,3420,0.381
1732547350200881.2,3315930,1471948608,cudaLaunchKernel,211,1732547350200890.0,cuda_runtime,3421,8.879
1732547350200890.2,3315930,1471948608,cudaGetLastError,10,1732547350200890.5,cuda_runtime,3422,0.242
1732547350200891.0,3315930,1471948608,cudaGetDevice,17,1732547350200891.5,cuda_runtime,3423,0.452
1732547350200940.2,3315930,1471948608,cudaGetDevice,17,1732547350200941.0,cuda_runtime,3424,0.656
1732547350200941.8,3315930,1471948608,cudaGetDevice,17,1732547350200942.2,cuda_runtime,3425,0.405
1732547350200943.0,3315930,1471948608,cudaGetDevice,17,1732547350200943.5,cuda_runtime,3426,0.398
1732547350200945.8,3315930,1471948608,cudaGetLastError,10,1732547350200946.0,cuda_runtime,3427,0.291
1732547350200946.2,3315930,1471948608,cudaGetDevice,17,1732547350200946.8,cuda_runtime,3428,0.445
1732547350200947.0,3315930,1471948608,cudaStreamIsCapturing,317,1732547350200948.5,cuda_runtime,3429,1.351
1732547350200948.8,3315930,1471948608,cudaMalloc,20,1732547350201069.5,cuda_runtime,3430,120.796
1732547350201074.0,3315930,1471948608,cudaGetDevice,17,1732547350201074.8,cuda_runtime,3431,0.689
1732547350201078.2,3315930,1471948608,cudaGetDevice,17,1732547350201078.8,cuda_runtime,3432,0.43
1732547350201079.2,3315930,1471948608,cudaGetDevice,17,1732547350201079.8,cuda_runtime,3433,0.398
1732547350201081.0,3315930,1471948608,cudaEventRecord,135,1732547350201083.5,cuda_runtime,3434,2.427
1732547350201084.0,3315930,1471948608,cudaStreamIsCapturing,317,1732547350201084.8,cuda_runtime,3435,0.825
1732547350201085.0,3315930,1471948608,cudaStreamGetPriority,203,1732547350201085.8,cuda_runtime,3436,0.751
1732547350201086.0,3315930,1471948608,cudaDeviceGetStreamPriorityRange,205,1732547350201086.5,cuda_runtime,3437,0.667
1732547350201087.5,3315930,1471948608,cudaGetDevice,17,1732547350201087.8,cuda_runtime,3438,0.434
1732547350201423.0,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201428.0,cuda_runtime,3439,5.263
1732547350201428.2,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201431.0,cuda_runtime,3440,2.698
1732547350201431.2,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201434.0,cuda_runtime,3441,2.597
1732547350201434.2,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201436.8,cuda_runtime,3442,2.666
1732547350201437.2,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201439.8,cuda_runtime,3443,2.667
1732547350201440.0,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201442.8,cuda_runtime,3444,2.7
1732547350201442.8,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201445.8,cuda_runtime,3445,2.702
1732547350201446.0,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201448.5,cuda_runtime,3446,2.547
1732547350201448.8,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201451.2,cuda_runtime,3447,2.601
1732547350201451.5,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201454.2,cuda_runtime,3448,2.745
1732547350201454.8,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201457.2,cuda_runtime,3449,2.607
1732547350201457.5,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201460.2,cuda_runtime,3450,2.691
1732547350201705.2,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201708.5,cuda_runtime,3451,3.251
1732547350201708.8,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201711.2,cuda_runtime,3452,2.475
1732547350201711.5,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201713.8,cuda_runtime,3453,2.32
1732547350201714.0,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201716.2,cuda_runtime,3454,2.383
1732547350201716.5,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201718.8,cuda_runtime,3455,2.375
1732547350201719.0,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201721.5,cuda_runtime,3456,2.38
1732547350201721.8,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201724.2,cuda_runtime,3457,2.571
1732547350201724.5,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201726.8,cuda_runtime,3458,2.399
1732547350201727.0,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201729.5,cuda_runtime,3459,2.548
1732547350201729.8,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201732.5,cuda_runtime,3460,2.538
1732547350201732.8,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201735.2,cuda_runtime,3461,2.518
1732547350201735.5,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201738.0,cuda_runtime,3462,2.56
1732547350201755.5,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201758.2,cuda_runtime,3463,2.861
1732547350201758.5,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201760.8,cuda_runtime,3464,2.268
1732547350201761.0,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201763.2,cuda_runtime,3465,2.282
1732547350201763.2,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201766.0,cuda_runtime,3466,2.348
1732547350201766.0,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201768.2,cuda_runtime,3467,2.324
1732547350201768.5,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201770.8,cuda_runtime,3468,2.402
1732547350201771.0,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201773.5,cuda_runtime,3469,2.449
1732547350201773.5,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201776.2,cuda_runtime,3470,2.432
1732547350201776.5,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201778.8,cuda_runtime,3471,2.368
1732547350201779.0,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201781.5,cuda_runtime,3472,2.579
1732547350201781.8,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201784.2,cuda_runtime,3473,2.602
1732547350201784.5,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201787.2,cuda_runtime,3474,2.611
1732547350201809.2,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201812.0,cuda_runtime,3475,2.978
1732547350201812.2,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201815.0,cuda_runtime,3476,2.626
1732547350201815.2,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201818.0,cuda_runtime,3477,2.568
1732547350201818.2,3315930,1471948608,cudaFuncGetAttributes,15,1732547350201820.5,cuda_runtime,3478,2.483
