ts,correlation,device,ph,bytes,dur,tid,pid,cat,memory bandwidth (GB/s),stream,External id,name,context
6083647121558.536,373,0,X,784,1.248,7,0,gpu_memset,0.314859437751004,7,82,Memset (Device),1
6083647121908.583,619,0,X,400,0.897,7,0,gpu_memset,0.22371364653243847,7,134,Memset (Device),1
6083647122053.671,736,0,X,400,0.896,7,0,gpu_memset,0.22371364653243847,7,159,Memset (Device),1
6083647122665.734,1243,0,X,128,0.512,7,0,gpu_memset,0.12524461839530332,7,263,Memset (Device),1
6083647127364.285,1364,0,X,128,0.864,7,0,gpu_memset,0.07424593967517401,7,288,Memset (Device),1
6083647127467.709,1485,0,X,128,0.896,7,0,gpu_memset,0.07158836689038031,7,313,Memset (Device),1
